job_title,company,job_location,job_description,job_link,job_skills,search_country,job_level,job_type
LTAMDS Sustainment Data Analyst,Raytheon,"Tewksbury, Middlesex County","Job Description Date Posted: 2026-03-05 Country: United States of America Location: US-MA-TEWKSBURY-TB2 ~ 50 Apple Hill Dr ~ SUDBURY BLDG, Tewksbury Tb2 200 Sudbury Position Role Type: Onsite U.S. Citizen, U.S. Person, or Immigration Status Requirements: The ability to obtain and maintain a U.S. government issued security clearance is required.​ U.S. citizenship is required, as only U.S. citizens are eligible for a security clearance Security Clearance Type: DoD Clearance: Secret Security Clear…",https://www.adzuna.com/land/ad/5657646377?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=56D45622ABDDCC896ED184C11652A31BC8CDAFFC,,United States,,
Data Analyst III,NES Fircroft,"Denver, Colorado","Senior Data Analyst (Hybrid - Denver, CO) Contract PositionÂ We are seeking a Senior Data Analyst to support the Rockies region, delivering dedicated analytical capabilities to the Drilling & Completions (D&C) organization. This strategic operations-embedded role focuses on transforming raw data into high-value insights that enhance operational efficiency, well delivery performance, and capital management. The successful candidate will serve as a trusted analytical partner to D&C leadership, en…",https://www.adzuna.com/land/ad/5653775466?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=171297224A54B51153CE8E7193EE4B8B2832B511,,United States,,
Data Analyst,ConocoPhillips,"Atlanta, Fulton County","We are looking to hire a data analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.",https://www.adzuna.com/land/ad/5643225150?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=D565E5DB0B0B978B8F235D69E01C869B32AFDABF,,United States,,
Data Analyst,Jobot,"Las Vegas, Clark County","Our client in Las Vegas is looking to hire a Data Analyst! This position is in the office 3 days per week paying up to $75,000 per year. This Jobot Job is hosted by: Nick Frei Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $60,000 - $75,000 per year A bit about us: Our clientis currently seeking a Data Analyst to join their dynamic Tech Services team. The ideal candidate will be responsible for collecting, analyzing, and interpreting vast am…",https://www.adzuna.com/land/ad/5643228328?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=89F69E7E53D9C2F319F9E4007966371969AD2F1D,,United States,,
Data Analyst,"Pyramid Consulting, Inc","Owings Mills, Baltimore County","Immediate need for a talented Data Analyst . This is a 06 Months Contract opportunity with long-term potential and is located in Owing Mills, MD (Hybrid) . Please review the job description below and contact me ASAP if you are interested. Job ID: 26-04286 Pay Range: $25 - $30/hour. Employee benefits include, but are not limited to, health insurance (medical, dental, vision), 401(k) plan, and paid sick leave (depending on work location).",https://www.adzuna.com/land/ad/5643246585?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=9CFC8A410F91CDA3B1A63EBC70E69DFA38F5DB33,,United States,,
Data Analyst,Mindlance,"Guilderland, Albany County","Advance your career with Mindlance! We have been connecting talented IT professionals with world-class companies since 1999. Mindlance is here to help you to find the perfect fit with just the right company. Currently, we are seeking a Data Analyst for an exciting career growth opportunity. Make your next big career move with the kind of position that will allow you to be genuinely passionate about the work you do! Our recruiters will work closely with you to help you get the edge over the comp…",https://www.adzuna.com/land/ad/5643252355?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=DEEDCCD09B62D68F31CC22D3ADA7ABC6CB08BDF9,,United States,,
Data Analyst,Jobot,"Houston, Harris County","Power BI, SQL & Data Modeling for Scalable Industrial Intelligence in Oil/Gas This Jobot Job is hosted by: Andrew Nguyen Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $40 - $55 per hour A bit about us: We are an innovative oil and gas technology company that delivers real-time operational data from completions sites, turning complex sensor and vendor information into actionable insights. Our platform centralizes and visualizes data, enablin…",https://www.adzuna.com/land/ad/5643241616?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=47DDAC8A22786B05ACC38B07E9478EA4FF2545B7,,United States,,
Data Analyst,Jobot,"Mansfield, Tarrant County","This Jobot Job is hosted by: Christian Aviles Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $50,000 - $58,000 per year A bit about us: My client provides water management solutions specializing in precise digital measurement, data delivery, and water preservation software. Why join us? Benefit Overview: Company-paid premiums for Medical Insurance, Life/AD&D Insurance and Short and Long-Term Disability Insurances Flexible Spending Account (M…",https://www.adzuna.com/land/ad/5649056107?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=3D1DD4F5E57CA90FAABA82BC27A126C5E97219D8,,United States,,
Data Analyst,Jobot,"Columbia, Howard County","Exciting opportunity to join an industry leading building materials manufacturing company! Onsite role- Local candidates only This Jobot Job is hosted by: Matt Tassoni Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $75,000 - $105,000 per year A bit about us: Exciting opportunity to join an industry leading building materials manufacturing company! New site! Why join us? Medical Dental Vision 401k PTO and more! Job Details Responsibilities Co…",https://www.adzuna.com/land/ad/5643257461?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=2F0556B7F86708908C5EFA98691D2D5F9AACA15C,,United States,,
Senior Data Analyst,Samsara,US,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operations to harness Internet of Things (IoT) data to develop actionable insights and improve their operations. At Samsara, we are helping improve the safety, efficiency and sustainability of the physical operations that power our global economy. Representing more than 40% of global GDP, these industries are the infrastructure of our planet, including ag…",https://www.adzuna.com/details/5633173670?utm_medium=api&utm_source=44463cba,,United States,,
